latitude,longitude,intensity
-65.81444,125.07615,76.37746
-44.08758,-1.64337,44.94911
27.28674,103.94041,9.38596
-84.89745,120.87544,43.27671
47.21041,-179.24182,44.53872
39.87721,-97.64560,94.52707
72.25694,-168.98761,2.54459
7.45425,158.09370,38.12042
-51.01211,-28.03803,2.90408
-50.09550,-22.36047,49.58122
-48.04480,-96.88805,21.87810
-7.27138,-75.67862,2.14897
60.76404,20.32356,64.22944
-56.53687,177.31563,85.99465
-68.23981,-60.22973,72.14844
38.01452,157.11861,42.21070
59.40642,61.31000,30.33685
15.76451,137.69244,84.61974
0.95109,32.04081,3.45258
-46.30680,107.06553,41.43140
-58.85867,17.56755,70.30408
31.40745,-45.10691,43.89616
1.51677,100.23934,52.09384
-19.21408,-3.71033,2.95750
-82.17229,73.21755,98.31877
16.77307,-38.30411,17.03492
0.40294,173.54759,77.05231
7.13114,129.70432,23.21761
2.47890,162.88826,57.77948
-7.35629,-83.05939,54.79963
82.28093,-177.94471,78.36552
57.68746,139.02465,74.05034
55.64518,6.72418,56.13579
-13.30368,-159.79561,87.00102
12.59988,-108.05781,50.47205
-2.71348,-51.55561,34.60779
6.92618,44.45620,61.24525
-7.53358,-169.92901,22.96050
-58.10197,30.40591,86.10089
53.71901,106.95512,81.64374
-44.04707,123.02814,67.31135
-75.01786,-173.99137,1.45600
46.00562,-90.15868,10.94886
22.46438,-56.00777,6.95154
-61.26741,9.85694,16.81449
-40.87540,76.17237,45.47016
-32.03968,-9.44243,2.36346
-20.41972,-28.46928,18.80393
-70.42290,143.93466,51.01160
-52.36362,38.03351,81.70397
-86.25274,-173.56877,14.64617
39.39039,-122.31807,70.46056
32.07164,16.09278,22.05997
85.60701,107.21191,51.65995
-49.82476,53.46231,39.48980
13.65227,-64.35151,63.09479
-79.41868,-72.50186,96.79033
67.59616,-69.70082,85.85144
-34.13455,158.14384,74.38421
-15.08899,-89.15108,0.84803
68.16922,-166.35005,81.94141
83.19620,25.30101,17.15171
66.20059,170.55909,70.40231
1.59727,-43.93122,34.69309
-52.96288,62.69509,43.29501
-55.05864,-142.40728,66.59575
-36.70692,-0.07203,32.53457
66.89187,143.88418,1.80930
-53.84646,-62.01335,98.70497
50.88607,-57.92557,21.30298
31.40191,121.57239,93.21875
-28.10703,137.66155,68.71102
-2.79023,174.78296,23.46404
40.58373,-149.51512,16.96941
73.97780,-103.33145,75.91162
18.03759,122.80759,36.81080
-28.74866,-75.16250,86.74198
18.71686,163.55068,88.72651
-65.63772,18.42137,10.42750
-82.95520,-153.65037,86.61684
51.86096,118.26215,34.08975
20.73349,101.48530,37.80396
12.74067,-99.46293,8.17433
-41.98974,140.67653,56.44468
76.51210,-15.20307,27.71828
51.66264,117.99654,1.23817
30.67410,-146.99408,11.51025
69.31081,-165.59153,23.96334
87.86853,-28.43511,11.55582
-59.87098,-93.08870,74.40064
-71.48985,147.87519,37.82773
84.64753,147.32018,29.40236
-44.38618,-8.27637,10.01291
27.36904,-165.73672,1.05062
86.86505,-73.60205,59.65706
-9.02798,-67.21889,6.29648
74.41056,169.13278,96.97965
-69.95478,-102.53042,61.78069
86.39152,15.44875,68.81898
29.13020,-86.72904,54.16023
-34.68220,-91.30277,8.13688
-39.45839,174.01562,44.79022
27.36190,51.64779,94.07345
-19.71386,-69.55765,32.72414
-32.98767,124.96852,89.35002
-35.49432,-59.63997,54.42254
14.21738,34.54651,24.50980
-86.33267,-92.24665,7.23275
9.21686,-154.47011,7.51298
24.36878,-75.30424,79.21848
-1.21301,130.55363,15.41796
0.25733,106.19406,7.71070
80.86103,-117.63284,77.62090
87.28126,115.75805,31.97840
-70.76201,5.16897,91.93569
-37.17189,141.75317,14.16806
73.88670,-168.56642,31.60687
72.55589,109.38826,90.71538
61.32933,88.62656,68.95952
-57.93212,-24.25032,15.78969
38.66840,60.40035,25.25864
-78.40545,166.81892,80.82526
8.86859,14.89595,85.12927
-8.40426,-37.54424,33.86691
-43.56556,-171.21294,64.64388
-14.99690,25.41731,6.23216
-26.11018,-130.21772,12.51290
-43.35967,118.41638,39.77973
-17.80521,40.48017,23.35297
-88.65411,10.33263,50.08996
26.79113,-22.20590,68.65131
41.65595,-94.18512,49.50723
-3.81116,-98.97765,41.22461
10.87334,146.49822,91.77066
-40.45943,52.70946,4.81973
-77.12075,4.20902,87.74241
-61.29581,95.77003,88.30096
-33.87563,69.32051,84.89911
-23.10942,72.46176,73.64181
17.02400,128.25977,89.66044
82.81419,25.64377,17.62759
-44.89283,-101.65727,56.95173
46.39502,-161.23204,68.16365
39.08759,-54.72666,51.50558
-60.33633,82.76261,4.07087
86.61979,110.85974,62.84485
-41.84528,148.63064,95.94388
-64.95729,99.27261,84.19309
28.74912,72.14680,44.50587
76.37540,169.63471,38.23533
54.48808,-24.14823,16.47542
-31.41589,-134.52117,90.88848
82.69633,-137.09278,60.06791
-16.51966,-137.48759,29.54755
-45.32105,89.84765,0.40090
-55.82903,-22.04169,2.10347
22.95479,38.02591,83.53324
-52.81095,-77.47862,54.23394
-40.81937,30.86571,25.08822
33.03489,104.79266,80.86546
85.25090,16.33572,49.08093
64.02559,96.86426,57.05446
-21.01385,-77.74292,10.81392
55.35884,-137.49425,74.72652
8.15168,167.38032,76.10657
85.23356,-130.82616,50.03715
13.06409,-67.94948,50.30325
-25.77262,10.22183,0.08447
-10.38342,-18.16123,30.47992
-18.10751,101.91143,68.34129
-1.38616,53.16057,37.75582
-53.29547,-178.60476,27.76213
17.66956,137.39866,82.94212
1.97284,175.32653,46.15810
60.22683,-32.77248,74.46306
87.76650,-70.07883,17.03128
21.60607,11.14422,35.94220
-89.36654,-39.90145,42.58695
-17.05463,130.04831,58.44280
42.08954,143.24730,74.87735
-1.31363,88.47660,64.03554
26.77418,46.68313,40.69990
23.26717,48.14370,93.71180
50.84526,124.65650,76.74998
56.75866,37.96646,34.94501
-42.37501,74.88721,87.39421
7.96442,-125.25481,83.29753
-2.78225,-11.84305,4.53881
1.85057,88.10916,42.25978
-26.06808,56.46367,1.97414
1.28945,160.60575,69.04476
-17.65373,68.00697,60.49939
-52.39991,-105.22500,88.60253
-41.56754,-153.04148,83.06776
4.17560,-47.44506,51.15189
42.61062,-119.32070,65.30670
38.41866,113.40124,26.97606
19.73994,-96.43900,56.10447
-58.97467,104.31634,86.67179
-30.66416,-99.96532,96.37884
37.20426,123.76534,3.05345
71.89080,44.08274,31.65292
-12.28219,94.17348,78.54120
-55.81784,45.31914,16.56295
85.14897,-20.31244,91.31450
41.08461,38.25357,26.19840
4.78662,-130.09689,13.80980
38.83496,-50.00768,75.13763
-46.71115,78.53693,71.84769
-35.01074,-141.70124,39.70079
-1.37493,-144.00928,18.67613
-80.03825,35.10489,88.88761
-51.01960,-167.50316,70.39236
56.68390,167.08377,61.31790
-28.36023,121.63270,11.80671
34.67465,-145.71689,39.97057
-0.89588,-43.95806,16.85976
-48.29088,115.25400,46.25758
14.38789,-103.71347,71.49351
-30.57889,33.70269,90.94871
88.99081,-163.36154,79.74427
64.36581,-64.95320,38.31476
14.44568,150.78248,39.99286
68.40543,93.08179,15.22731
74.46239,-174.53482,14.51783
29.66602,-159.43691,37.94899
-66.60381,-13.35986,83.99803
73.09518,-167.23093,6.08518
61.31233,-164.58668,27.35903
-68.86139,-147.22643,2.76229
24.75234,88.06114,68.67714
62.21210,58.68583,38.97019
23.59134,169.05413,64.16033
-46.24349,-158.33373,93.51660
16.28919,-54.13869,60.53527
10.84637,7.98184,6.08046
-26.41904,-31.44599,19.93683
68.41894,-27.31688,66.23857
38.43836,87.58190,72.11153
45.39753,-89.43095,97.64037
-62.81824,150.71306,85.45688
63.38957,-160.98795,9.12181
56.35004,-11.09994,37.02532
87.24375,-165.55754,53.14651
-10.19704,-133.84688,39.51883
37.37653,137.63362,2.46197
4.41172,-147.46443,80.03935
-74.55865,-167.69040,38.42362
41.86911,-67.24559,13.00049
53.02300,110.49098,85.58598
-35.32599,-27.06107,24.53900
10.29195,-61.16142,33.86633
51.05186,164.26662,58.41403
-71.15617,54.92698,44.86117
87.84550,78.97734,83.47861
36.23153,12.82284,89.68184
59.69107,-75.12268,15.70319
-23.33666,7.58796,9.73801
-27.83173,26.96604,4.35746
56.69076,54.40214,31.36502
-36.30222,-53.05819,32.52887
44.73248,0.38047,52.61284
-63.22383,149.19048,32.55729
-31.03840,-155.21539,97.94116
-3.65439,148.63851,92.76172
84.55539,113.62654,92.54432
76.01208,108.49236,13.45812
